Summoner Name,Tier,Rank,LP,Wins,Losses,Queue Type
,CHALLENGER,I,2022,367,285,RANKED_SOLO_5x5
,CHALLENGER,I,2016,253,170,RANKED_SOLO_5x5
,CHALLENGER,I,1942,266,190,RANKED_SOLO_5x5
,CHALLENGER,I,1860,234,158,RANKED_SOLO_5x5
,CHALLENGER,I,1822,200,109,RANKED_SOLO_5x5
,CHALLENGER,I,1815,183,107,RANKED_SOLO_5x5
,CHALLENGER,I,1729,167,95,RANKED_SOLO_5x5
,CHALLENGER,I,1684,413,346,RANKED_SOLO_5x5
,CHALLENGER,I,1683,297,227,RANKED_SOLO_5x5
,CHALLENGER,I,1679,304,238,RANKED_SOLO_5x5
,CHALLENGER,I,1650,344,283,RANKED_SOLO_5x5
,CHALLENGER,I,1592,285,214,RANKED_SOLO_5x5
,CHALLENGER,I,1575,196,134,RANKED_SOLO_5x5
,CHALLENGER,I,1562,186,124,RANKED_SOLO_5x5
,CHALLENGER,I,1523,227,165,RANKED_SOLO_5x5
,CHALLENGER,I,1516,257,200,RANKED_SOLO_5x5
,CHALLENGER,I,1458,165,104,RANKED_SOLO_5x5
,CHALLENGER,I,1451,271,202,RANKED_SOLO_5x5
,CHALLENGER,I,1438,147,91,RANKED_SOLO_5x5
,CHALLENGER,I,1415,381,321,RANKED_SOLO_5x5
,CHALLENGER,I,1408,231,176,RANKED_SOLO_5x5
,CHALLENGER,I,1407,155,93,RANKED_SOLO_5x5
,CHALLENGER,I,1406,181,130,RANKED_SOLO_5x5
,CHALLENGER,I,1401,354,300,RANKED_SOLO_5x5
,CHALLENGER,I,1386,339,289,RANKED_SOLO_5x5
,CHALLENGER,I,1381,377,318,RANKED_SOLO_5x5
,CHALLENGER,I,1379,124,64,RANKED_SOLO_5x5
,CHALLENGER,I,1374,186,129,RANKED_SOLO_5x5
,CHALLENGER,I,1373,276,221,RANKED_SOLO_5x5
,CHALLENGER,I,1367,284,226,RANKED_SOLO_5x5
,CHALLENGER,I,1358,244,188,RANKED_SOLO_5x5
,CHALLENGER,I,1356,303,247,RANKED_SOLO_5x5
,CHALLENGER,I,1355,166,108,RANKED_SOLO_5x5
,CHALLENGER,I,1350,323,259,RANKED_SOLO_5x5
,CHALLENGER,I,1348,216,150,RANKED_SOLO_5x5
,CHALLENGER,I,1346,273,217,RANKED_SOLO_5x5
,CHALLENGER,I,1346,155,94,RANKED_SOLO_5x5
,CHALLENGER,I,1345,260,208,RANKED_SOLO_5x5
,CHALLENGER,I,1343,263,205,RANKED_SOLO_5x5
,CHALLENGER,I,1341,245,202,RANKED_SOLO_5x5
,CHALLENGER,I,1338,282,234,RANKED_SOLO_5x5
,CHALLENGER,I,1337,217,163,RANKED_SOLO_5x5
,CHALLENGER,I,1333,268,193,RANKED_SOLO_5x5
,CHALLENGER,I,1331,266,216,RANKED_SOLO_5x5
,CHALLENGER,I,1331,224,166,RANKED_SOLO_5x5
,CHALLENGER,I,1321,203,146,RANKED_SOLO_5x5
,CHALLENGER,I,1317,269,222,RANKED_SOLO_5x5
,CHALLENGER,I,1317,223,177,RANKED_SOLO_5x5
,CHALLENGER,I,1315,396,342,RANKED_SOLO_5x5
,CHALLENGER,I,1313,191,136,RANKED_SOLO_5x5
,CHALLENGER,I,1311,395,343,RANKED_SOLO_5x5
,CHALLENGER,I,1309,245,188,RANKED_SOLO_5x5
,CHALLENGER,I,1308,589,551,RANKED_SOLO_5x5
,CHALLENGER,I,1305,198,146,RANKED_SOLO_5x5
,CHALLENGER,I,1303,303,247,RANKED_SOLO_5x5
,CHALLENGER,I,1291,227,169,RANKED_SOLO_5x5
,CHALLENGER,I,1287,234,188,RANKED_SOLO_5x5
,CHALLENGER,I,1286,277,221,RANKED_SOLO_5x5
,CHALLENGER,I,1286,264,210,RANKED_SOLO_5x5
,CHALLENGER,I,1281,183,127,RANKED_SOLO_5x5
,CHALLENGER,I,1279,344,290,RANKED_SOLO_5x5
,CHALLENGER,I,1272,288,236,RANKED_SOLO_5x5
,CHALLENGER,I,1270,373,313,RANKED_SOLO_5x5
,CHALLENGER,I,1270,226,171,RANKED_SOLO_5x5
,CHALLENGER,I,1265,225,175,RANKED_SOLO_5x5
,CHALLENGER,I,1257,173,124,RANKED_SOLO_5x5
,CHALLENGER,I,1245,272,223,RANKED_SOLO_5x5
,CHALLENGER,I,1244,213,139,RANKED_SOLO_5x5
,CHALLENGER,I,1237,274,229,RANKED_SOLO_5x5
,CHALLENGER,I,1233,327,278,RANKED_SOLO_5x5
,CHALLENGER,I,1233,199,139,RANKED_SOLO_5x5
,CHALLENGER,I,1229,272,220,RANKED_SOLO_5x5
,CHALLENGER,I,1228,216,137,RANKED_SOLO_5x5
,CHALLENGER,I,1225,245,193,RANKED_SOLO_5x5
,CHALLENGER,I,1219,375,328,RANKED_SOLO_5x5
,CHALLENGER,I,1219,361,315,RANKED_SOLO_5x5
,CHALLENGER,I,1217,124,70,RANKED_SOLO_5x5
,CHALLENGER,I,1216,250,198,RANKED_SOLO_5x5
,CHALLENGER,I,1213,218,169,RANKED_SOLO_5x5
,CHALLENGER,I,1207,319,270,RANKED_SOLO_5x5
,CHALLENGER,I,1203,199,152,RANKED_SOLO_5x5
,CHALLENGER,I,1202,169,119,RANKED_SOLO_5x5
,CHALLENGER,I,1202,147,98,RANKED_SOLO_5x5
,CHALLENGER,I,1197,258,205,RANKED_SOLO_5x5
,CHALLENGER,I,1194,156,106,RANKED_SOLO_5x5
,CHALLENGER,I,1189,402,350,RANKED_SOLO_5x5
,CHALLENGER,I,1186,140,84,RANKED_SOLO_5x5
,CHALLENGER,I,1183,119,68,RANKED_SOLO_5x5
,CHALLENGER,I,1182,117,60,RANKED_SOLO_5x5
,CHALLENGER,I,1181,104,51,RANKED_SOLO_5x5
,CHALLENGER,I,1180,169,120,RANKED_SOLO_5x5
,CHALLENGER,I,1178,326,282,RANKED_SOLO_5x5
,CHALLENGER,I,1174,182,131,RANKED_SOLO_5x5
,CHALLENGER,I,1171,182,136,RANKED_SOLO_5x5
,CHALLENGER,I,1170,406,363,RANKED_SOLO_5x5
,CHALLENGER,I,1170,284,246,RANKED_SOLO_5x5
,CHALLENGER,I,1170,237,186,RANKED_SOLO_5x5
,CHALLENGER,I,1169,329,257,RANKED_SOLO_5x5
,CHALLENGER,I,1165,241,191,RANKED_SOLO_5x5
,CHALLENGER,I,1162,103,45,RANKED_SOLO_5x5
,CHALLENGER,I,1155,220,167,RANKED_SOLO_5x5
,CHALLENGER,I,1153,211,162,RANKED_SOLO_5x5
,CHALLENGER,I,1151,100,44,RANKED_SOLO_5x5
,CHALLENGER,I,1150,362,317,RANKED_SOLO_5x5
,CHALLENGER,I,1150,133,82,RANKED_SOLO_5x5
,CHALLENGER,I,1149,154,110,RANKED_SOLO_5x5
,CHALLENGER,I,1148,135,87,RANKED_SOLO_5x5
,CHALLENGER,I,1145,257,213,RANKED_SOLO_5x5
,CHALLENGER,I,1145,149,98,RANKED_SOLO_5x5
,CHALLENGER,I,1144,196,124,RANKED_SOLO_5x5
,CHALLENGER,I,1142,121,73,RANKED_SOLO_5x5
,CHALLENGER,I,1140,249,201,RANKED_SOLO_5x5
,CHALLENGER,I,1139,170,122,RANKED_SOLO_5x5
,CHALLENGER,I,1138,251,205,RANKED_SOLO_5x5
,CHALLENGER,I,1138,239,180,RANKED_SOLO_5x5
,CHALLENGER,I,1135,330,286,RANKED_SOLO_5x5
,CHALLENGER,I,1135,220,165,RANKED_SOLO_5x5
,CHALLENGER,I,1134,276,224,RANKED_SOLO_5x5
,CHALLENGER,I,1134,170,125,RANKED_SOLO_5x5
,CHALLENGER,I,1130,269,222,RANKED_SOLO_5x5
,CHALLENGER,I,1130,227,178,RANKED_SOLO_5x5
,CHALLENGER,I,1126,374,330,RANKED_SOLO_5x5
,CHALLENGER,I,1126,184,136,RANKED_SOLO_5x5
,CHALLENGER,I,1125,165,90,RANKED_SOLO_5x5
,CHALLENGER,I,1122,147,104,RANKED_SOLO_5x5
,CHALLENGER,I,1118,241,195,RANKED_SOLO_5x5
,CHALLENGER,I,1116,168,124,RANKED_SOLO_5x5
,CHALLENGER,I,1116,140,89,RANKED_SOLO_5x5
,CHALLENGER,I,1115,382,340,RANKED_SOLO_5x5
,CHALLENGER,I,1115,259,214,RANKED_SOLO_5x5
,CHALLENGER,I,1111,322,278,RANKED_SOLO_5x5
,CHALLENGER,I,1111,221,171,RANKED_SOLO_5x5
,CHALLENGER,I,1109,157,110,RANKED_SOLO_5x5
,CHALLENGER,I,1108,314,261,RANKED_SOLO_5x5
,CHALLENGER,I,1107,339,294,RANKED_SOLO_5x5
,CHALLENGER,I,1107,274,226,RANKED_SOLO_5x5
,CHALLENGER,I,1107,207,158,RANKED_SOLO_5x5
,CHALLENGER,I,1106,228,187,RANKED_SOLO_5x5
,CHALLENGER,I,1105,240,196,RANKED_SOLO_5x5
,CHALLENGER,I,1103,392,337,RANKED_SOLO_5x5
,CHALLENGER,I,1102,272,225,RANKED_SOLO_5x5
,CHALLENGER,I,1102,205,160,RANKED_SOLO_5x5
,CHALLENGER,I,1101,163,114,RANKED_SOLO_5x5
,CHALLENGER,I,1101,150,99,RANKED_SOLO_5x5
,CHALLENGER,I,1100,210,160,RANKED_SOLO_5x5
,CHALLENGER,I,1093,108,58,RANKED_SOLO_5x5
,CHALLENGER,I,1092,297,250,RANKED_SOLO_5x5
,CHALLENGER,I,1092,235,180,RANKED_SOLO_5x5
,CHALLENGER,I,1091,107,36,RANKED_SOLO_5x5
,CHALLENGER,I,1088,104,37,RANKED_SOLO_5x5
,CHALLENGER,I,1087,574,522,RANKED_SOLO_5x5
,CHALLENGER,I,1086,196,153,RANKED_SOLO_5x5
,CHALLENGER,I,1085,177,126,RANKED_SOLO_5x5
,CHALLENGER,I,1084,190,135,RANKED_SOLO_5x5
,CHALLENGER,I,1080,261,216,RANKED_SOLO_5x5
,CHALLENGER,I,1080,185,133,RANKED_SOLO_5x5
,CHALLENGER,I,1080,101,46,RANKED_SOLO_5x5
,CHALLENGER,I,1076,110,60,RANKED_SOLO_5x5
,CHALLENGER,I,1073,421,378,RANKED_SOLO_5x5
,CHALLENGER,I,1072,287,240,RANKED_SOLO_5x5
,CHALLENGER,I,1072,274,225,RANKED_SOLO_5x5
,CHALLENGER,I,1072,178,126,RANKED_SOLO_5x5
,CHALLENGER,I,1072,158,103,RANKED_SOLO_5x5
,CHALLENGER,I,1071,222,177,RANKED_SOLO_5x5
,CHALLENGER,I,1071,210,164,RANKED_SOLO_5x5
,CHALLENGER,I,1070,201,157,RANKED_SOLO_5x5
,CHALLENGER,I,1070,115,72,RANKED_SOLO_5x5
,CHALLENGER,I,1069,180,135,RANKED_SOLO_5x5
,CHALLENGER,I,1065,283,219,RANKED_SOLO_5x5
,CHALLENGER,I,1063,280,236,RANKED_SOLO_5x5
,CHALLENGER,I,1061,615,569,RANKED_SOLO_5x5
,CHALLENGER,I,1060,158,109,RANKED_SOLO_5x5
,CHALLENGER,I,1056,343,300,RANKED_SOLO_5x5
,CHALLENGER,I,1056,141,99,RANKED_SOLO_5x5
,CHALLENGER,I,1055,424,381,RANKED_SOLO_5x5
,CHALLENGER,I,1055,345,306,RANKED_SOLO_5x5
,CHALLENGER,I,1053,374,332,RANKED_SOLO_5x5
,CHALLENGER,I,1053,178,130,RANKED_SOLO_5x5
,CHALLENGER,I,1052,149,98,RANKED_SOLO_5x5
,CHALLENGER,I,1050,499,450,RANKED_SOLO_5x5
,CHALLENGER,I,1050,187,138,RANKED_SOLO_5x5
,CHALLENGER,I,1050,154,112,RANKED_SOLO_5x5
,CHALLENGER,I,1049,265,217,RANKED_SOLO_5x5
,CHALLENGER,I,1048,254,213,RANKED_SOLO_5x5
,CHALLENGER,I,1048,178,116,RANKED_SOLO_5x5
,CHALLENGER,I,1047,298,242,RANKED_SOLO_5x5
,CHALLENGER,I,1047,146,77,RANKED_SOLO_5x5
,CHALLENGER,I,1045,392,341,RANKED_SOLO_5x5
,CHALLENGER,I,1045,277,234,RANKED_SOLO_5x5
,CHALLENGER,I,1045,225,178,RANKED_SOLO_5x5
,CHALLENGER,I,1044,242,195,RANKED_SOLO_5x5
,CHALLENGER,I,1044,227,185,RANKED_SOLO_5x5
,CHALLENGER,I,1044,214,169,RANKED_SOLO_5x5
,CHALLENGER,I,1043,382,343,RANKED_SOLO_5x5
,CHALLENGER,I,1043,367,321,RANKED_SOLO_5x5
,CHALLENGER,I,1041,406,368,RANKED_SOLO_5x5
,CHALLENGER,I,1040,285,237,RANKED_SOLO_5x5
,CHALLENGER,I,1040,141,82,RANKED_SOLO_5x5
,CHALLENGER,I,1039,233,192,RANKED_SOLO_5x5
,CHALLENGER,I,1037,368,320,RANKED_SOLO_5x5
,CHALLENGER,I,1037,323,282,RANKED_SOLO_5x5
,CHALLENGER,I,1037,150,105,RANKED_SOLO_5x5
,CHALLENGER,I,1035,204,159,RANKED_SOLO_5x5
,CHALLENGER,I,1034,218,172,RANKED_SOLO_5x5
,CHALLENGER,I,1033,183,146,RANKED_SOLO_5x5
