"label","numberOfGames","totalRevenue","averageRevenue","averagePrice","averagePlayTime","medianRevenue","top25","top5","bottom30"
"Action","39055","50213471955.08207","1285711.7387039321","8.670270900007205","6.855716058715438","597","9578","947153","76"
"Free To Play","9014","23083713859.676464","2560873.514497056","0.052461726203683216","15.370735968692395","0","0","116062","0"
"Adventure","37580","29660768839.74236","789270.0595993177","9.134929749861387","7.0151428261806785","970","13149","639962","134"
"Massively Multiplayer","2203","10442395310.856901","4740079.5782373585","5.829868361325373","37.99753912868661","858","29898","7324278.747196977","8"
"Strategy","18419","12873142414.3025","698905.6091157229","9.913475215806722","14.2246613142363","1015","18989.158835978084","1124250","117"
"RPG","17246","18715929357.0556","1085233.060249078","10.540147280526275","12.737925820409792","1755","31209","1640795","175"
"Indie","66668","15880488708.616796","238202.5665779204","7.124612107751503","7.022170453474498","598","7206","289362","80"
"Early Access","9368","3533916554.925395","377232.7663242309","8.695058710504652","8.619846324918875","529","7110","365406","71"
"Simulation","19374","12084851850.511896","623766.4834578247","10.872014555586075","11.774554668318869","1670","24347","1134833","214"
"Racing","3471","1235105442.7043679","355835.6216376744","14.047608758281973","6.570077082826306","563","9079","565883","72"
"Sports","4115","1648409858.0663955","400585.6277196587","14.806648845685388","11.503455598787127","877","13179","506594","142"
"Casual","40935","4924081544.946873","120290.25393787402","6.766991083419767","7.3948078319773085","386","3765","124676","53"